age,workclass,education,marital-status,occupation,race,sex,weekly_worked_hours,native-country,gross_income,capital_gains/loss
34, Private, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,35, Taiwan, >50K,7298
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7298
36, State-gov, HS-grad, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K,7298
43, Private, Bachelors, Divorced, Exec-managerial, White, Male,45, United-States, >50K,-1564
46, Private, 5th-6th, Divorced, Craft-repair, White, Female,45, United-States, <=50K,-2339
44, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female,6, United-States, >50K,-2415
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, Other, >50K,7688
28, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Other, Male,40, Puerto-Rico, <=50K,-2179
28, Other, Some-college, Married-civ-spouse, Other, White, Female,40, United-States, >50K,-1887
17, Private, 11th, Never-married, Handlers-cleaners, White, Male,18, United-States, <=50K,2176
36, Federal-gov, Masters, Never-married, Prof-specialty, White, Male,40, United-States, <=50K,-1408
40, Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, White, Female,40, United-States, <=50K,2174
27, Private, Some-college, Never-married, Craft-repair, Asian-Pac-Islander, Male,40, Philippines, <=50K,-1980
49, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-1977
52, Other, 12th, Never-married, Other, Black, Male,40, United-States, <=50K,594
49, Private, Assoc-voc, Married-spouse-absent, Handlers-cleaners, White, Male,42, United-States, <=50K,-1380
67, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,48, United-States, >50K,20051
43, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, <=50K,5013
37, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1977
52, Private, 10th, Married-civ-spouse, Craft-repair, White, Male,47, United-States, >50K,-1887
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, Canada, >50K,7688
25, Private, Some-college, Never-married, Tech-support, White, Male,40, United-States, <=50K,2174
26, Local-gov, Bachelors, Never-married, Prof-specialty, White, Male,40, United-States, <=50K,1055
46, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,15024
70, Other, 9th, Widowed, Other, White, Female,15, United-States, <=50K,1111
42, Private, Assoc-acdm, Divorced, Prof-specialty, White, Female,40, United-States, >50K,8614
27, State-gov, Some-college, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K,3411
20, Other, 11th, Married-spouse-absent, Other, Asian-Pac-Islander, Female,40, South, <=50K,-1762
24, Private, 9th, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K,-1721
22, Private, HS-grad, Never-married, Sales, White, Female,40, United-States, <=50K,2597
31, Private, Masters, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,-1902
31, Private, Bachelors, Widowed, Sales, White, Female,40, Cuba, <=50K,-1380
40, Private, Assoc-voc, Married-civ-spouse, Tech-support, White, Male,40, United-States, <=50K,4386
29, Private, Bachelors, Never-married, Prof-specialty, White, Male,40, United-States, <=50K,4650
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,7298
26, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Male,45, United-States, <=50K,-2377
35, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,2407
56, Private, HS-grad, Widowed, Other-service, Black, Female,20, United-States, <=50K,594
55, Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,7688
29, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
28, Private, Assoc-voc, Never-married, Machine-op-inspct, White, Female,42, United-States, <=50K,-1669
21, Other, HS-grad, Never-married, Other, White, Female,40, United-States, <=50K,1055
23, Private, HS-grad, Never-married, Sales, White, Female,40, United-States, <=50K,2463
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, England, >50K,-1902
24, Private, HS-grad, Never-married, Other-service, Black, Male,30, United-States, <=50K,-1721
32, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,48, United-States, >50K,5178
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,47, United-States, >50K,3103
57, Private, HS-grad, Widowed, Transport-moving, White, Male,42, United-States, >50K,-653
53, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female,40, United-States, >50K,4386
55, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,4386
71, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,10605
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Asian-Pac-Islander, Male,40, China, >50K,-2415
29, Private, Assoc-voc, Divorced, Tech-support, White, Female,45, United-States, <=50K,2174
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,15024
37, Private, 11th, Married-civ-spouse, Machine-op-inspct, White, Male,44, United-States, >50K,3103
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-2415
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Female,45, United-States, >50K,-1977
67, Private, Bachelors, Widowed, Exec-managerial, White, Male,40, United-States, >50K,-2392
21, Private, Some-college, Never-married, Exec-managerial, White, Female,40, United-States, <=50K,4101
78, Private, HS-grad, Widowed, Other-service, Black, Female,40, United-States, <=50K,2964
51, Private, Some-college, Widowed, Prof-specialty, White, Female,40, United-States, <=50K,3325
46, Private, Bachelors, Never-married, Sales, White, Male,40, United-States, <=50K,-1504
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,2580
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, >50K,3103
20, State-gov, Assoc-acdm, Never-married, Other-service, White, Male,20, United-States, <=50K,-1719
19, Other, HS-grad, Never-married, Other, White, Male,40, United-States, <=50K,-2001
66, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, White, Male,1, Other, <=50K,1409
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K,7298
49, Local-gov, Masters, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1902
61, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,3471
38, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1902
48, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, White, Female,46, United-States, >50K,-1902
27, Private, Bachelors, Never-married, Sales, Black, Female,40, United-States, <=50K,-1590
29, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female,25, United-States, >50K,-1977
39, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, White, Male,40, Mexico, <=50K,-1651
41, Private, Bachelors, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,3103
45, Federal-gov, HS-grad, Divorced, Tech-support, White, Female,40, United-States, <=50K,4865
33, Private, Masters, Married-civ-spouse, Prof-specialty, White, Male,44, United-States, >50K,15024
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7298
44, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,3411
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,40, United-States, >50K,-1977
65, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,20, United-States, >50K,10605
50, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, Other, <=50K,4386
54, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,15024
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male,40, United-States, >50K,7688
31, Private, Bachelors, Divorced, Exec-managerial, White, Male,45, United-States, <=50K,4650
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1902
28, Self-emp-not-inc, Some-college, Never-married, Transport-moving, White, Male,40, United-States, <=50K,-1762
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1887
46, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,-1977
67, Private, Bachelors, Married-civ-spouse, Protective-serv, White, Male,7, United-States, >50K,6514
50, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,40, United-States, >50K,5178
35, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,7298
61, Local-gov, HS-grad, Widowed, Adm-clerical, White, Female,35, United-States, <=50K,1471
33, Private, Some-college, Never-married, Prof-specialty, White, Female,16, United-States, <=50K,3674
71, Private, Bachelors, Divorced, Tech-support, White, Female,16, United-States, <=50K,2329
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,40, Japan, >50K,99999
65, Private, Masters, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,20051
40, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Black, Male,40, Other, >50K,-1887
59, Private, HS-grad, Divorced, Sales, White, Female,30, United-States, <=50K,-1762
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Black, Male,40, United-States, <=50K,5013
51, Private, 10th, Married-civ-spouse, Handlers-cleaners, White, Male,45, United-States, <=50K,2105
45, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, White, Male,35, United-States, >50K,4386
39, Private, 9th, Married-civ-spouse, Other-service, Black, Female,34, United-States, <=50K,3411
57, Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,-1887
18, Other, Some-college, Never-married, Other, White, Female,15, United-States, <=50K,594
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K,5013
17, Other, 10th, Never-married, Other, White, Male,30, United-States, <=50K,1055
25, Private, HS-grad, Divorced, Craft-repair, White, Male,45, United-States, <=50K,3325
48, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
35, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,45, United-States, <=50K,-2051
40, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male,36, United-States, >50K,7298
53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,99999
31, Private, 10th, Married-civ-spouse, Farming-fishing, White, Male,40, Mexico, <=50K,2105
30, Private, HS-grad, Never-married, Adm-clerical, White, Male,42, United-States, <=50K,-2001
53, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,35, United-States, >50K,15024
49, Private, Some-college, Divorced, Machine-op-inspct, White, Male,45, United-States, <=50K,3325
59, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Female,30, United-States, <=50K,2885
25, Private, Bachelors, Never-married, Exec-managerial, White, Male,40, United-States, <=50K,-1340
62, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,40, Other, >50K,7688
75, Other, Bachelors, Widowed, Other, White, Female,16, United-States, >50K,25124
44, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1848
49, Other, 10th, Separated, Other, White, Male,40, United-States, <=50K,2176
39, Private, HS-grad, Divorced, Adm-clerical, White, Male,40, United-States, >50K,10520
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-1977
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female,40, United-States, <=50K,-1740
28, Private, HS-grad, Never-married, Sales, White, Female,48, United-States, <=50K,2202
48, Private, Masters, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,15024
65, State-gov, Masters, Married-civ-spouse, Prof-specialty, White, Male,35, United-States, >50K,6514
49, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-2002
44, Private, Assoc-acdm, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7688
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,2961
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-1902
17, Private, 11th, Never-married, Adm-clerical, White, Female,20, United-States, <=50K,1055
53, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Female,40, United-States, >50K,15024
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Male,40, United-States, >50K,-1902
43, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,-1902
64, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,35, United-States, >50K,15024
21, Private, HS-grad, Never-married, Other-service, White, Female,16, United-States, <=50K,-1719
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,20, United-States, >50K,99999
71, Private, HS-grad, Married-civ-spouse, Protective-serv, White, Male,20, United-States, <=50K,6767
26, Private, Some-college, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,3103
59, Local-gov, HS-grad, Widowed, Farming-fishing, White, Male,40, United-States, <=50K,-2339
43, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7688
38, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7298
31, Private, Assoc-acdm, Never-married, Adm-clerical, White, Male,38, United-States, <=50K,2202
42, Local-gov, Bachelors, Married-spouse-absent, Prof-specialty, White, Female,45, United-States, >50K,8614
39, Private, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,40, United-States, >50K,15024
33, Private, HS-grad, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,3103
41, Private, HS-grad, Never-married, Exec-managerial, White, Male,40, United-States, <=50K,2174
73, Local-gov, 7th-8th, Married-civ-spouse, Protective-serv, White, Male,10, United-States, <=50K,2228
46, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-1902
22, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, White, Female,40, Dominican-Republic, >50K,99999
34, Local-gov, Some-college, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K,-1579
45, Federal-gov, HS-grad, Never-married, Transport-moving, Black, Male,40, United-States, <=50K,3325
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male,45, United-States, >50K,5178
29, Private, Some-college, Never-married, Other-service, Other, Male,40, Other, <=50K,-1590
45, Local-gov, Masters, Divorced, Prof-specialty, White, Female,45, United-States, <=50K,1506
30, Private, Bachelors, Never-married, Sales, White, Male,48, United-States, <=50K,-1741
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,45, United-States, <=50K,-1628
46, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,40, United-States, >50K,7688
50, Private, Masters, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,15024
26, Private, Masters, Never-married, Prof-specialty, White, Male,40, United-States, >50K,8614
40, Private, Bachelors, Married-spouse-absent, Prof-specialty, Asian-Pac-Islander, Male,40, Cambodia, >50K,13550
36, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,3103
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,40, United-States, <=50K,1409
24, Private, 7th-8th, Married-civ-spouse, Craft-repair, White, Male,38, United-States, <=50K,2635
31, Private, Bachelors, Never-married, Exec-managerial, White, Female,40, United-States, <=50K,-1408
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, <=50K,-1740
57, Federal-gov, HS-grad, Never-married, Adm-clerical, White, Male,40, United-States, <=50K,-2258
32, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Female,40, United-States, >50K,-1485
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, White, Female,10, United-States, >50K,20051
28, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,42, United-States, >50K,-1848
37, State-gov, Assoc-voc, Never-married, Prof-specialty, White, Male,40, United-States, >50K,8614
42, Local-gov, Masters, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,-1977
49, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1485
42, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1887
66, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,5556
45, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female,35, United-States, >50K,-1902
47, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,5013
44, Private, Masters, Married-civ-spouse, Prof-specialty, White, Male,35, United-States, >50K,-1887
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7298
64, Self-emp-not-inc, HS-grad, Never-married, Other-service, White, Male,40, United-States, <=50K,1055
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,15024
29, Private, Masters, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7298
38, Local-gov, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Male,40, Vietnam, <=50K,-1741
19, Private, Some-college, Never-married, Sales, White, Female,10, United-States, <=50K,-1602
23, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,-1902
18, Private, HS-grad, Never-married, Handlers-cleaners, White, Female,15, United-States, <=50K,-1719
45, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,-1902
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,7688
53, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female,40, Philippines, >50K,-1887
44, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,15024
18, Private, 9th, Never-married, Handlers-cleaners, White, Male,40, United-States, <=50K,594
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,15024
67, Other, 11th, Married-civ-spouse, Other, White, Male,3, United-States, <=50K,-419
36, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,44, United-States, >50K,7298
34, Self-emp-inc, Masters, Separated, Prof-specialty, White, Female,40, United-States, >50K,4787
74, Other, 9th, Married-civ-spouse, Other, White, Male,40, United-States, <=50K,3471
42, Private, Some-college, Divorced, Exec-managerial, White, Male,40, United-States, <=50K,-1408
39, Other, HS-grad, Never-married, Other, White, Male,40, United-States, <=50K,-1590
35, Private, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K,-1579
25, Private, 12th, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K,-1741
45, Private, HS-grad, Never-married, Adm-clerical, White, Male,40, United-States, <=50K,3325
66, Other, Bachelors, Married-civ-spouse, Other, White, Male,40, United-States, >50K,-2174
68, Private, HS-grad, Widowed, Adm-clerical, White, Female,30, United-States, <=50K,-2206
55, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,35, Greece, >50K,-2415
60, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7298
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,4386
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,15024
39, Private, HS-grad, Married-civ-spouse, Sales, White, Male,44, United-States, >50K,3103
42, Private, Bachelors, Divorced, Sales, White, Male,40, United-States, <=50K,-1590
69, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, White, Male,30, United-States, <=50K,3818
75, Other, 9th, Married-civ-spouse, Other, Black, Male,5, United-States, <=50K,1409
50, Private, Bachelors, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,7298
47, Other, HS-grad, Married-civ-spouse, Other, White, Male,40, Other, <=50K,3942
34, Private, Bachelors, Never-married, Exec-managerial, White, Female,45, United-States, <=50K,-1741
54, Private, HS-grad, Widowed, Machine-op-inspct, White, Male,40, United-States, <=50K,914
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India, <=50K,4064
43, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female,15, United-States, <=50K,4064
77, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, White, Male,20, United-States, <=50K,401
37, Private, Assoc-voc, Divorced, Prof-specialty, White, Female,45, United-States, >50K,8614
52, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7298
42, Federal-gov, 11th, Never-married, Tech-support, White, Male,40, United-States, <=50K,-1340
32, Private, Bachelors, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,15024
47, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7688
40, Private, Bachelors, Divorced, Exec-managerial, White, Female,40, United-States, >50K,10520
51, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, >50K,3103
55, State-gov, Masters, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,7688
34, Private, HS-grad, Never-married, Adm-clerical, White, Female,40, United-States, <=50K,4865
52, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,99999
39, Private, Some-college, Divorced, Exec-managerial, White, Female,40, United-States, >50K,8614
40, Local-gov, Some-college, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female,35, United-States, <=50K,2977
25, Private, Some-college, Never-married, Other-service, White, Male,48, United-States, <=50K,2597
26, Private, Some-college, Never-married, Prof-specialty, White, Male,40, Other, <=50K,-1602
37, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female,45, United-States, >50K,7298
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
30, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K,-1902
43, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7688
57, Private, Some-college, Divorced, Exec-managerial, White, Female,10, United-States, <=50K,594
61, Private, 5th-6th, Never-married, Handlers-cleaners, Black, Male,40, United-States, <=50K,-2339
40, Private, HS-grad, Married-civ-spouse, Sales, White, Female,20, United-States, <=50K,5013
24, Private, Some-college, Never-married, Adm-clerical, White, Male,24, United-States, <=50K,-2205
44, Private, Prof-school, Never-married, Prof-specialty, White, Male,40, United-States, >50K,14084
45, Local-gov, Prof-school, Divorced, Prof-specialty, Black, Female,40, United-States, <=50K,-1726
41, Local-gov, Some-college, Married-civ-spouse, Other-service, White, Male,40, United-States, >50K,-1485
40, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, White, Male,45, United-States, >50K,-2444
38, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Female,33, United-States, >50K,7688
81, Private, 9th, Widowed, Priv-house-serv, Black, Female,5, United-States, <=50K,2062
33, Local-gov, HS-grad, Divorced, Adm-clerical, White, Female,40, United-States, <=50K,-1138
49, Private, Assoc-acdm, Married-civ-spouse, Sales, White, Female,40, United-States, >50K,-1902
50, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Male,48, United-States, <=50K,-1740
48, Private, Some-college, Widowed, Exec-managerial, Black, Female,38, United-States, <=50K,-1669
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,3103
34, Private, HS-grad, Divorced, Craft-repair, White, Male,35, United-States, <=50K,3325
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,30, Mexico, <=50K,2829
64, State-gov, Doctorate, Never-married, Prof-specialty, White, Female,40, United-States, >50K,4787
57, Private, Prof-school, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, Philippines, >50K,-1902
24, Private, HS-grad, Never-married, Sales, White, Female,32, United-States, <=50K,-1762
31, Private, HS-grad, Separated, Machine-op-inspct, White, Female,40, United-States, <=50K,-2238
20, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, White, Male,10, United-States, <=50K,-2258
48, Private, Prof-school, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,-1977
42, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,48, United-States, >50K,-1977
25, Private, Assoc-acdm, Never-married, Farming-fishing, White, Male,45, United-States, <=50K,2354
